id,bytes
1985,399601
1986,437650
1987,553963
1988,41506
1989,125396
1990,124669
1991,210642
1992,224179
1993,71865
1994,448162
1995,290593
1996,283966
1997,308061
1998,683067
1999,367381
2,2980
20,462907
200,8312639
2000,2226045
2002,32717
2003,78807
2004,39911
2005,480742
2006,45401
2007,998695
2008,180924
2009,1302730
201,227207
2010,149648
2011,382736
2012,114682
2013,576124
2014,475254
2015,318129
2016,3456190
2017,68652
2018,254921
2019,397752
202,798598
2020,558192
2021,1015106
2022,208833
2023,329234
2024,255938
2025,246582
2026,639927
2027,129971
2028,566870
2029,435557
203,1059743
2030,417280
2031,428753
2032,603822
2033,357630
2034,1103946
2035,262228
2036,534408
2037,406753
2038,715740
2039,114214
204,477507
2040,242653
2041,332283
2042,448844
2043,757665
2044,1060799
2045,701718
2046,339765
2047,738164
2048,760688
2049,184066
205,637939
2050,104113
2051,79373
2052,62866
2053,590512
2054,122002
2055,952515
2056,869220
2057,388675
2058,135435
2059,525748
206,817922
2060,242959
2061,92106
2062,194639
2063,325130
2064,349517
2065,375929
2066,588499
2067,489199
2068,599053
2069,180124
207,97719
2070,557946
2071,249510
2072,617274
2073,540003
2074,1360557
2075,248144
2076,319918
2077,913251
2078,320293
2079,427188
208,148739
2080,493890
2081,464063
2082,939676
2083,960630
2084,917648
2085,667887
2086,315997
2087,1121672
2088,1095312
2089,75167
209,234973
2090,25387
2092,762737
2093,660469
2094,655562
2095,259243
2096,590277
2097,236945
2098,367228
2099,1027572
21,252598
210,182181
2100,4944850
2101,132338
2102,237971
2103,345919
2104,265257
2105,218226
2106,257566
2107,303612
2108,161772
2109,364743
211,211025
2110,286500
2111,320853
2112,464974
2113,386561
2114,358617
2115,470661
2116,555799
2117,247092
2118,775989
2119,531258
212,270495
2120,667836
2121,733054
2122,71117
2123,418909
2124,315892
2125,876922
2126,299923
2127,289907
2128,154334
2129,290609
213,162950
2130,261729
2131,224329
2132,722559
2133,305887
2134,207051
2135,247959
2136,108839
2137,88799
2138,393186
2139,227250
214,182806
2140,97648
2141,435570
2142,238550
2143,1039001
2144,3085389
2145,1163051
2146,178969
2147,577056
2148,608403
2149,626240
215,180051
2150,562038
2151,475672
2152,338765
2153,912009
2154,395643
2155,516454
2156,216788
2157,110702
2158,1565198
2159,445119
216,80255
2160,853949
2161,52544
2162,431925
2163,91015
2164,86957
2165,120159
2166,480179
2167,357806
2168,860285
2169,425839
217,954552
2170,1156973
2171,116278
2172,623847
2173,297073
2174,154266
2175,225876
2176,251704
2177,132188
2178,259642
2179,351039
218,169680
2180,246632
2181,390713
2182,479563
2183,378226
2184,735830
2185,265631
2186,320749
2187,398241
2188,383837
2189,116601
219,217397
2190,264273
2191,309137
2192,463127
2193,298456
2194,734198
2195,157730
2196,342577
2197,338410
2198,443851
2199,929005
22,1519997
220,111928
221,653988
222,441384
2225,320496
2226,595027
2227,388515
2228,280045
2229,191547
223,434743
2230,340067
2231,543776
2232,193891
2233,459057
2234,356862
2235,103244
2236,105524
2237,130463
2238,131491
2239,86356
224,788840
2240,126553
2241,127455
2242,199700
2243,124897
2244,124482
2245,125945
2246,138085
2247,118148
2248,149212
2249,121995
225,476036
2250,132654
2251,142543
2252,152125
2253,155785
2254,134368
2255,150029
2256,145143
2257,176866
2258,148301
2259,168927
226,112288
2260,124199
2261,143839
2262,114043
2263,119737
2264,107549
2265,171696
2266,145562
2267,159510
2268,153414
2269,164801
227,495789
2270,4504324
2271,592921
2272,212632
2273,255598
2274,92788
2275,1014250
2276,483122
2277,220124
2278,194490
